position,person,personID,start,gender,DOB,DOD,image,enwiki
emir,Nawaf Al-Ahmad Al-Jaber Al-Sabah,Q641805,2020-09-29,male,1937-06-25,,Nawaf Al-Ahmad Al-Jaber Al-Sabah (cropped).jpg,Nawaf Al-Ahmad Al-Jaber Al-Sabah
Prime Minister,Sabah Al-Khalid Al-Sabah,Q12219691,2019-11-19,male,1953-03-03,,Sabah Al-Khalid Al-Sabah 2014 (portrait crop).jpg,Sabah Al-Khalid Al-Sabah
Deputy Prime Minister,Hamad Jaber Al-Ali Al-Sabah,Q96202201,2020-12-14,,,,,
Deputy Prime Minister,Ahmad Mansour Al-Ahmad Al-Sabah,Q79180644,2021-12-28,male,1969,,,Ahmad Mansour Al-Ahmad Al-Sabah
Deputy Prime Minister,Mohammad Abdullatif Al-Fares,Q96041531,2021-12-28,,,,,
Minister of Awqaf and Islamic Affairs,Essa Al-Kandari,Q54875312,2021-03-02,male,1963,,,
Minister of Defence,Hamad Jaber Al-Ali Al-Sabah,Q96202201,2020-12-14,,,,,
Minister of Education,Ali Fahad Al-Mudhaf,Q104175573,2020-12-14,male,,,,
"Minister of Electricity, Water, and Sustainable Energy",Mohammad Abdullatif Al-Fares,Q96041531,2021-12-28,,,,,
Minister of Finance,Abdulwahab Al-Rushaid,Q37996526,2021-12-28,male,1984-10-29,,,Abdulwahab Al-Rushaid
Minister of Foreign Affairs,Ahmad Nasser al-Mohammed al-Sabah,Q12179124,2019-12-17,male,1971,,,
Minister of Health,Khaled Mhawes Al-Saeed,Q110289302,2021-12-28,male,,,,
Minister of Higher Education,Ali Fahad Al-Mudhaf,Q104175573,2020-12-14,male,,,,
Minister of Information,Hamad Ahmad Roh El Deen,Q109298040,2021-12-28,male,1985-09-07,,,
Minister of Interior,Ahmad Mansour Al-Ahmad Al-Sabah,Q79180644,2021-12-28,male,1969,,,Ahmad Mansour Al-Ahmad Al-Sabah
Minister of Justice,Jamal Hadhel Al-Jalwai,Q110289298,2021-12-28,male,,,,
Minister of Oil,Mohammad Abdullatif Al-Fares,Q96041531,2020-12-14,,,,,
Minister of Public Works,Ali Husain Ali Al Mousa,Q110289338,2021-12-28,male,1975,,,
Minister Of Social Affairs,Mubarak Zaid Al-Mutairi,Q106098187,2021-12-28,,,,,
Minister of Trade and Industry,Fahad Mutlaq Al-Shurai'an,Q110289308,2021-12-28,male,,,,
Minister of the Amiri Diwan,Mohammad Abdullah Al-Mubarak Al-Sabah,Q12240740,2021-08-11,male,1971-10-02,,Sheikh Mohammad Abdullah Al-Mubarak Al-Sabah.jpg,
Minister of State For Communications and Information Technology Affairs,Rana Abdullah Al-Fares,Q79351786,2021-12-28,female,,,,
Minister of State For Municipal Affairs,Rana Abdullah Al-Fares,Q79351786,2021-12-28,female,,,,
