wdid,name,arname,pid,position,arposition
Q12219691,Sabah Al-Khalid Al-Sabah,صباح الخالد الصباح,Q2035020,list of Prime Ministers of Kuwait,رئيس الوزراء
Q96202201,Hamad Jaber Al-Ali Al-Sabah,حمد جابر العلي الصباح,Q16257919,Ministry of Defense,نائب رئيس الوزراء ووزير الدفاع
Q12179124,Ahmad Nasser al-Mohammed al-Sabah,أحمد ناصر المحمد الصباح,Q16257922,Ministry of Foreign Affairs,وزير الخارجية
Q104175576,Thamer Ali Sabah Al-Salem Al-Sabah,ثامر العلي الصباح,Q17064142,Ministry of Interior (Kuwait),وزير الداخلية
Q12179124,Ahmad Nasser al-Mohammed al-Sabah,أحمد ناصر المحمد الصباح,,,وزير الأمانة العامة لمجلس الوزراء
Q54875312,Essa Al-Kandari,عيسى الكندري,Q15835286,Kuwait Ministry of Awqaf and Islamic Affairs,وزير الأوقاف والشؤون الإسلامية
Q106427761,Abdullah Issa Al-Salman,عبد الله السلمان,Q17068462,Ministry of Commerce and Industry,وزير التجارة والصناعة
Q104175573,Ali Fahad Al-Mudhaf,علي المضف,Q104176127,Ministry of Education,وزير التربية
Q106087794,Dr. Meshaan M. Al-Otaibi,مشعان العتيبي,Q104178104,Ministry of Electricity and Water and Renewable Energy,وزير الكهرباء والماء
Q104175578,Khalifa Musaed Hamada,خليفة حمادة,Q15640179,Ministry of Finance (Kuwait),وزير المالية
Q47499713,Basil Hammoud Al-Hamad Al-Sabah,باسل حمود الحمد الصباح,Q96679148,Ministry of Health,وزير الصحة
Q96041531,Mohammad Abdullatif Al-Fares,محمد عبد اللطيف الفارس,Q104176091,Ministry of Higher Education,وزير التعليم العالي
Q4665936,Abdullah Al-Roumi,عبد الله الرومي,Q55648354,Ministry of Justice (Kuwait),نائب رئيس مجلس الوزراء ووزير العدل ووزير دولة لشؤون تعزيز النزاهة
Q96041531,Mohammad Abdullatif Al-Fares,محمد عبد اللطيف الفارس,Q17069140,Ministry of Oil,وزير النفط
Q79351786,Rana Abdullah Al-Fares,رنا الفارس,Q101866096,Ministry of Public Works,وزير الأشغال العامة
Q87073852,Shaya Abdurrahman Ahmad Al-Shaya,شايع عبد الرحمن الشايع,,,وزير الشؤون البلدية
Q106087794,Dr. Meshaan M. Al-Otaibi,مشعان العتيبي,Q60752885,Ministry Of Social Affairs And Labour,وزير الشؤون الإجتماعية والعمل
Q104175578,Khalifa Musaed Hamada,خليفة حمادة,,,وزير الدولة للشؤون الإقتصادية
Q87073852,Shaya Abdurrahman Ahmad Al-Shaya,شايع عبد الرحمن الشايع,Q104178419,Minister of Housing,وزير الإسكان
Q79351786,Rana Abdullah Al-Fares,رنا الفارس,Q22934979,Ministry of Transportation,وزير المواصلات
Q85848781,Mubarak Al-Harris,مبارك الحريص,,,وزير شؤون مجلس الأمة
Q104175575,Abdurrahman Baddah Al-Mutairi,عبد الرحمن بداح المطيري,Q22934927,وزارة الدولة لشئون الشباب,وزير الدولة لشؤون الشباب
