@@,wdid,name,pid,position
---,Q12247753,Nasser Sabah Al-Ahmad Al-Sabah,Q104382486,Minister of Defense
---,Q12219691,Sabah Al-Khalid Al-Sabah,Q110525652,Minister of Foreign Affairs
---,Q12219691,Sabah Al-Khalid Al-Sabah,Q110526533,Deputy Prime Minister of Kuwait
+++,Q96202201,حمد جابر العلي الصباح,Q16257919,نائب رئيس الوزراء ووزير الدفاع
+++,Q96041531,محمد عبد اللطيف الفارس,Q17069140,وزير النفط
+++,Q96041531,محمد عبد اللطيف الفارس,Q104176091,وزير التعليم العالي
+++,Q87073852,شايع عبد الرحمن الشايع,,وزير الشؤون البلدية
+++,Q87073852,شايع عبد الرحمن الشايع,Q104178419,وزير الإسكان
+++,Q85848781,مبارك الحريص,,وزير شؤون مجلس الأمة
+++,Q79351786,رنا الفارس,Q22934979,وزير المواصلات
+++,Q79351786,رنا الفارس,Q101866096,وزير الأشغال العامة
+++,Q54875312,عيسى الكندري,Q15835286,وزير الأوقاف والشؤون الإسلامية
+++,Q47499713,باسل حمود الحمد الصباح,Q96679148,وزير الصحة
+++,Q4665936,عبد الله الرومي,Q55648354,نائب رئيس مجلس الوزراء ووزير العدل ووزير دولة لشؤون تعزيز النزاهة
+++,Q12219691,صباح الخالد الصباح,Q2035020,رئيس الوزراء
+++,Q12179124,أحمد ناصر المحمد الصباح,,وزير الأمانة العامة لمجلس الوزراء
+++,Q12179124,أحمد ناصر المحمد الصباح,Q16257922,وزير الخارجية
+++,Q106427761,عبد الله السلمان,Q17068462,وزير التجارة والصناعة
+++,Q106087794,مشعان العتيبي,Q104184823,وزير الشؤون الإجتماعية والعمل
+++,Q106087794,مشعان العتيبي,Q104178104,وزير الكهرباء والماء
+++,Q104175578,خليفة حمادة,Q15640179,وزير المالية
+++,Q104175578,خليفة حمادة,,وزير الدولة للشؤون الإقتصادية
+++,Q104175576,ثامر العلي الصباح,Q17064142,وزير الداخلية
+++,Q104175575,عبد الرحمن بداح المطيري,Q22934927,وزير الدولة لشؤون الشباب
+++,Q104175573,علي المضف,Q104176127,وزير التربية
